iot_id,observation_type,lat,lon
11798,bike,53.580126,9.999377
11802,bike,53.580143453,9.999336767
11806,bike,53.580105,9.999405
11810,bike,53.575705,9.953765
11814,bike,53.5757405,9.95378679
11818,bike,53.5756692,9.95374997
11822,bike,53.580518,9.999531
11826,bike,53.580504,9.99951
11830,bike,53.580531,9.999549
11834,bike,53.575722,10.036556
11838,bike,53.575637,10.036746
11842,bike,53.491655,10.018671
11846,bike,53.491671,10.018558
11850,bike,53.491647,10.018791
11858,bike,53.598681,10.042914
11874,bike,53.567133,9.971398
11878,bike,53.491389,10.207636
11882,bike,53.491386,10.207595
11886,bike,53.491391,10.207674
11898,bike,53.537659,10.107673
11902,bike,53.616985,9.950679
11906,bike,53.616973,9.950509
11910,bike,53.617002,9.950894
11914,bike,53.581429,9.972625
11918,bike,53.581353,9.972404
11922,bike,53.581487,9.972782
11926,bike,53.490731,10.019164
11930,bike,53.490707,10.019013
11934,bike,53.490747,10.01929
11942,bike,53.456944,9.984676
11958,bike,53.456951,9.987122
11966,bike,53.557378,9.966939
11978,bike,53.492022,10.0146667
11994,bike,53.599698,10.041315
12006,bike,53.533222,10.027664
12010,bike,53.489563,10.186409
12014,bike,53.489586,10.18623
12018,bike,53.489536,10.186582
12022,bike,53.566185,10.019947
12026,bike,53.566203,10.019946
12030,bike,53.566168,10.019949
12034,bike,53.550256,9.934011
12038,bike,53.550305,9.934006
12042,bike,53.550212,9.934017
12046,bike,53.550202,9.936786
12050,bike,53.550106,9.93676
12054,bike,53.550366,9.936808
12058,bike,53.563894,10.044557
12062,bike,53.563911,10.044549
12066,bike,53.563873,10.044564
12074,bike,53.582185,9.971323
12086,bike,53.55742,9.96753
12098,bike,53.574709,10.03572
12110,bike,53.575936,10.034033
12118,bike,53.581491,9.970861
12122,bike,53.581518,9.97083
12126,bike,53.581466,9.970893
12130,bike,53.595264,10.146695
12134,bike,53.595249,10.146682
12138,bike,53.595278,10.146711
12142,bike,53.5758,10.036414
14148,car,53.580056,9.999282
14152,car,53.580071,9.999252
14156,car,53.580039,9.999314
14124,car,53.567133,9.971398
16318,car,53.456944,9.984676
14236,car,53.55742,9.96753
14904,car,53.574709,10.03572
13640,car,53.575936,10.034033
12544,bike,53.59874,10.042867
12548,bike,53.598797,10.042823
12552,bike,53.537603,10.108453
12556,bike,53.571251,9.868894
12560,bike,53.571353,9.868921
12564,bike,53.571126,9.86886
12568,bike,53.456477,9.985804
12572,bike,53.557705,9.998361
12576,bike,53.576023,9.970437
12580,bike,53.575979,9.970356
12584,bike,53.576055,9.970507
12588,bike,53.540829,9.966497
12592,bike,53.540829,9.966401
12596,bike,53.540825,9.966596
12600,bike,53.601888,9.890242
16290,car,53.557705,9.998361
12608,bike,53.563549,9.812332
12612,bike,53.575664,9.970334
12616,bike,53.575697,9.970269
12620,bike,53.57564,9.970403
12721,bike,53.456448,9.985719
12725,bike,53.456414,9.985608
12729,bike,53.559573,9.989954
12733,bike,53.559602,9.989791
12737,bike,53.559537,9.990116
12741,bike,53.597822,10.042419
12745,bike,53.597788,10.042238
12749,bike,53.59785,10.04264
12753,bike,53.557624,9.998287
12757,bike,53.557556,9.998243
12761,bike,53.571095,10.064093
12765,bike,53.571629,10.065335
12769,bike,53.656706,10.09405
12773,bike,53.656712,10.094014
12777,bike,53.6567,10.094086
12781,bike,53.601924,9.890147
12785,bike,53.601961,9.890038
12789,bike,53.563549,9.812432
12793,bike,53.563551,9.812557
12797,bike,53.594911,10.146594
12819,bike,53.59835,10.040634
12823,bike,53.457004,9.987104
12827,bike,53.457055,9.987083
12831,bike,53.559375,9.995765
12835,bike,53.559399,9.995676
12839,bike,53.559356,9.995849
12843,bike,53.575705,9.953765
12847,bike,53.5757405,9.95378679
12851,bike,53.5756692,9.95374997
12891,bike,53.605705,10.119304
12895,bike,53.605759,10.119121
12899,bike,53.60565,10.119518
12604,bike,53.628733,9.931627
14872,bike,53.577028,10.010338
14876,bike,53.577008,10.010242
14880,bike,53.577045,10.010428
14884,bike,53.655758,10.093586
14888,bike,53.558194,9.993342
14892,bike,53.656418,10.09482
14896,bike,53.594891,10.146629
14900,bike,53.594874,10.146667
16282,car,53.557624,9.998287
16286,car,53.557556,9.998243
14688,car,53.628615,9.931821
14064,car,53.543847,9.997977
14068,car,53.543845,9.998128
14072,car,53.54146,9.999596
14076,car,53.541459,9.999747
14080,car,53.543848,9.997826
14084,car,53.541461,9.999445
14088,car,53.558166,9.993709
14092,car,53.558164,9.99386
14096,car,53.558167,9.993558
14100,car,53.65615,10.087243
14104,car,53.65606,10.08724
14108,car,53.65624,10.087245
14112,car,53.557355,9.967573
14116,car,53.557265,9.967571
14120,car,53.567098,9.971087
14128,car,53.567159,9.96908
14132,car,53.567095,9.969185
14136,car,53.567036,9.97098
14140,car,53.559003,9.9504
14144,car,53.558939,9.950504
14160,car,53.550024,9.968236
14164,car,53.549934,9.968234
14168,car,53.551003,9.969451
14172,car,53.550941,9.969344
14176,car,53.551589,9.968136
14180,car,53.551527,9.968029
14184,car,53.55106,9.967958
14188,car,53.55115,9.96796
14192,car,53.551651,9.968243
14196,car,53.551065,9.969558
14200,car,53.55097,9.967956
14204,car,53.579422,10.013254
14208,car,53.579421,10.013405
14212,car,53.612099,10.00988
14216,car,53.612037,10.009772
14220,car,53.584785,10.033671
14224,car,53.584786,10.03352
14228,car,53.55751,9.964044
14232,car,53.55751,9.963893
14240,car,53.551833,10.007146
14244,car,53.598788,9.991413
14248,car,53.598698,9.991411
14252,car,53.582093,10.019557
14256,car,53.582091,10.019708
14260,car,53.62965,9.931662
14264,car,53.629714,9.931558
14268,car,53.559067,9.950296
14272,car,53.559537,9.948827
14276,car,53.559538,9.948676
14280,car,53.583029,9.934579
14284,car,53.583091,9.934686
14288,car,53.557939,9.949636
14292,car,53.557938,9.949787
14296,car,53.558379,9.948559
14300,car,53.558316,9.948663
14304,car,53.55868,9.962516
14308,car,53.55751,9.964195
14312,car,53.604192,9.987943
14316,car,53.604256,9.987839
14320,car,53.558651,9.96407
14324,car,53.55865,9.964221
14328,car,53.558652,9.963919
14332,car,53.419566,9.981356
14336,car,53.419565,9.981506
14340,car,53.620806,9.908139
14344,car,53.513188,10.091286
14348,car,53.574587,10.036306
14352,car,53.574649,10.036414
14356,car,53.4753,10.177344
14360,car,53.475298,10.177495
14364,car,53.483064,9.991335
14368,car,53.593634,9.995085
14372,car,53.593697,9.994981
14376,car,53.548324,9.983743
14380,car,53.548234,9.983741
14384,car,53.548414,9.983745
14388,car,53.59357,9.995189
14392,car,53.582967,9.934472
14396,car,53.530398,10.065824
14400,car,53.53046,10.065931
14404,car,53.650028,10.031483
14408,car,53.650117,10.031485
14412,car,53.530336,10.065717
14416,car,53.651998,9.986518
14420,car,53.651996,9.98667
14424,car,53.635057,10.01616
14428,car,53.635059,10.016009
14432,car,53.649938,10.031481
14436,car,53.651999,9.986367
14440,car,53.634449,10.016871
14444,car,53.634539,10.016873
14448,car,53.634151,10.015911
14452,car,53.63415,10.016063
14456,car,53.592499,9.932809
